feature,importance
num__artist_popularity,0.15214500887581725
num__artist_followers_log,0.14296291176014808
num__artist_followers,0.14292453832459978
num__duration_min,0.0902309283651091
num__release_year,0.07989452227136798
num__album_total_tracks,0.07504507307694323
num__release_month,0.05541099908685412
num__track_number,0.05054017665381324
cat__album_type_album,0.01445122648228675
num__explicit,0.01352761488461904
cat__primary_genre_['soundtrack'],0.01170654637677895
cat__primary_genre_[],0.010907013507460176
cat__album_type_single,0.010025345330273137
cat__album_type_compilation,0.007714814869238573
cat__primary_genre_['grunge',0.006071648630439358
cat__primary_genre_['latin pop'],0.0038448033377385376
cat__primary_genre_['soft pop'],0.0035722442583244174
cat__primary_genre_['reggaeton',0.003521496691245892
cat__primary_genre_['emo rap',0.003462866314002337
cat__primary_genre_['rap'],0.003082961137225413
cat__primary_genre_['pop'],0.0030822756076819427
cat__primary_genre_['art pop',0.0027205644897333957
cat__primary_genre_['industrial metal',0.0026435687293039265
cat__primary_genre_['r&b'],0.002396836761840603
cat__primary_genre_['k-pop'],0.0023150229817545556
cat__primary_genre_['lo-fi indie'],0.002209217908979099
cat__primary_genre_['dream pop'],0.002157789650060793
cat__primary_genre_['egyptian pop',0.001949638970154973
cat__primary_genre_['edm'],0.0019418001754049471
cat__primary_genre_['dark r&b'],0.0018435234261830022
cat__primary_genre_['folk',0.0017079774199649064
cat__primary_genre_['bedroom pop'],0.0017059645513722267
cat__primary_genre_['hip hop',0.0016851517748348848
cat__primary_genre_['neo-psychedelic'],0.0016534527138063967
cat__primary_genre_['indie',0.0016129383425322165
cat__primary_genre_['country',0.0015965885152533434
cat__primary_genre_['moombahton'],0.001582717200072771
cat__primary_genre_['folk pop'],0.001567247548654512
cat__primary_genre_['norwegian pop',0.001500280529837348
cat__primary_genre_['nu metal',0.0013961986541532695
cat__primary_genre_['trap'],0.0013899522312966898
cat__primary_genre_['egyptian hip hop',0.0013860217639874853
cat__primary_genre_['rock',0.0013855251174438204
cat__primary_genre_['indie rock'],0.0013496402399516866
cat__primary_genre_['classic rock',0.0013273487696245315
cat__primary_genre_['anime',0.0013025467396924632
cat__primary_genre_['country'],0.0012401498963095245
cat__primary_genre_['nu metal'],0.001102461872609244
cat__primary_genre_['rap',0.0010482466667535812
cat__primary_genre_['britpop',0.0010381045437951478
cat__primary_genre_['neo-psychedelic',0.0010123438895649518
cat__primary_genre_['witch house',0.0009661124606950506
cat__primary_genre_['soft pop',0.0009265386898606472
cat__primary_genre_['celtic',0.0008766330381606095
cat__primary_genre_['pop punk',0.0008710516212578208
cat__primary_genre_['glam metal',0.0008696790024256504
cat__primary_genre_['anime'],0.0008634212750384048
cat__primary_genre_['classical',0.0008326016141529212
cat__primary_genre_['downtempo',0.0008196235175230859
cat__primary_genre_['rap rock',0.0008183316006505426
cat__primary_genre_['metal',0.0008139168871786141
cat__primary_genre_['riot grrrl',0.0008046613392399992
cat__primary_genre_['jersey club'],0.0008015866288282132
cat__primary_genre_['southern gothic'],0.0007759735213042567
cat__primary_genre_['nightcore'],0.0007684286483394562
cat__primary_genre_['big beat',0.0007647889441112997
cat__primary_genre_['dark r&b',0.000759192599509402
cat__primary_genre_['christmas'],0.0007551376191332863
cat__primary_genre_['melodic rap'],0.000746754755063385
cat__primary_genre_['tropical house'],0.0007379942955072911
cat__primary_genre_['alternative rock'],0.000735041933238009
cat__primary_genre_['slap house'],0.0007200440204725746
cat__primary_genre_['art pop'],0.0007146055606364836
cat__primary_genre_['latin'],0.0006686919402620789
cat__primary_genre_['orchestral',0.0006636277492122358
cat__primary_genre_['house'],0.0006505761108846653
cat__primary_genre_['indonesian hip hop'],0.0006450771883714752
cat__primary_genre_['darkwave',0.0006371137628562881
cat__primary_genre_['indie'],0.000624271945209036
cat__primary_genre_['garage rock'],0.0006204598802790279
cat__primary_genre_['blues rock',0.0006154449334817042
cat__primary_genre_['edm',0.0006110699446866372
cat__primary_genre_['emo rap'],0.0006090973025585851
cat__primary_genre_['medieval',0.00060370684559349
cat__primary_genre_['japanese classical',0.0005930426482207961
cat__primary_genre_['synthpop'],0.0005786741166426186
cat__primary_genre_['future bass'],0.0005533309060955063
cat__primary_genre_['post-punk',0.0005489416985810946
cat__primary_genre_['country hip hop',0.0005488336796562545
cat__primary_genre_['witch house'],0.000538054185305106
cat__primary_genre_['soundtrack',0.0005229915148269235
cat__primary_genre_['hyperpop',0.0005217134737378576
cat__primary_genre_['medieval'],0.0005192218078307333
cat__primary_genre_['southern hip hop'],0.0005187462895890997
cat__primary_genre_['red dirt',0.0005161941996588732
cat__primary_genre_['afro house',0.0005109905571503187
cat__primary_genre_['german indie',0.0005086540151678445
cat__primary_genre_['swedish pop'],0.0005049802855982087
cat__primary_genre_['hypertechno'],0.0005042537585795717
cat__primary_genre_['proto-punk',0.0004937267749569599
cat__primary_genre_['post-grunge',0.00048230282254051936
cat__primary_genre_['trap metal',0.00048215144633552664
cat__primary_genre_['new wave',0.0004789244866968423
cat__primary_genre_['east coast hip hop',0.0004785446696270204
cat__primary_genre_['musicals'],0.00046485581923206843
cat__primary_genre_['ballroom vogue',0.0004623065250151869
cat__primary_genre_['soft rock'],0.00046007253256810974
cat__primary_genre_['heavy metal',0.00045787116041429295
cat__primary_genre_['pop soul'],0.00045530026499083045
cat__primary_genre_['east coast hip hop'],0.0004545740122109491
cat__primary_genre_['glam metal'],0.00044763924869888234
cat__primary_genre_['alternative rock',0.00044671490602568516
cat__primary_genre_['art rock',0.0004410349278277477
cat__primary_genre_['old school hip hop',0.0004373199729607971
cat__primary_genre_['emo',0.00043083726100733597
cat__primary_genre_['metal'],0.00041802051317730486
cat__primary_genre_['pop punk'],0.0004168545642607735
cat__primary_genre_['funk rock',0.00041617903046138615
cat__primary_genre_['europop',0.00040527481791175526
cat__primary_genre_['phonk',0.00040408210729298905
cat__primary_genre_['melodic rap',0.0004018480271571551
cat__primary_genre_['r&b',0.0003933921814423633
cat__primary_genre_['classic country',0.00038243671777653997
cat__primary_genre_['german hip hop',0.00037683329499816487
cat__primary_genre_['alternative metal'],0.00037478022758227563
cat__primary_genre_['alternative r&b',0.00036322587761887564
cat__primary_genre_['singer-songwriter',0.0003509011815070372
cat__primary_genre_['electroclash',0.00035041634193430356
cat__primary_genre_['garage rock',0.0003444108940710589
cat__primary_genre_['dansk pop'],0.0003392878470668544
cat__primary_genre_['dubstep',0.00033490347257245757
cat__primary_genre_['electro house'],0.0003256637597722336
cat__primary_genre_['classic rock'],0.0003195813865507231
cat__primary_genre_['bedroom pop',0.0003191788445882098
cat__primary_genre_['afro house'],0.00031830616940529017
cat__primary_genre_['progressive rock',0.0003088153706371487
cat__primary_genre_['rage rap'],0.00030750262113839975
cat__primary_genre_['neoclassical'],0.0003074902465509027
cat__primary_genre_['sea shanties',0.00029187244127173415
cat__primary_genre_['french pop'],0.0002884038729527312
cat__primary_genre_['aor',0.00028627091823302893
cat__primary_genre_['southern gothic',0.00025374456276242377
cat__primary_genre_['stutter house'],0.00025013197693939874
cat__primary_genre_['synthwave',0.00024541927790199273
cat__primary_genre_['post-grunge'],0.00024477596704510217
cat__primary_genre_['motown',0.00024254238787690198
cat__primary_genre_['french indie pop'],0.00023532740877214842
cat__primary_genre_['phonk'],0.00023460152824320067
cat__primary_genre_['punk',0.0002330127167447178
cat__primary_genre_['mahraganat',0.00023257777787740936
cat__primary_genre_['singer-songwriter'],0.0002325546411236699
